7683	7.59	0.11	2
41003	15.98	1.26	3
14251	10.79	1.10	2
44786	24.35	0.90	3
72640	4.05	0.42	3
31980	2.02	0.81	1
46360	2.15	0.28	1
72371	0.77	0.90	3
51566	4.83	0.97	1
50633	3.07	0.21	1
42494	2.68	0.82	1
57716	5.12	1.17	1
9084	9.85	1.32	2
7070	13.75	0.10	2
31742	6.73	0.66	1
14197	9.62	1.12	2
82018	13.57	1.59	3
4923	12.90	0.01	2
42017	9.71	1.06	1
7572	10.28	0.88	2
6112	8.33	0.91	2
57020	1.96	0.61	1
85410	7.87	0.34	3
56166	9.67	0.79	1
45464	29.81	1.78	3
5438	13.08	1.43	2
34494	25.13	1.23	3
12331	13.90	0.85	2
82544	7.20	0.86	3
28219	7.02	0.32	1
51783	7.75	0.39	1
44371	15.61	0.15	3
25885	7.80	0.54	1
6127	6.14	0.48	2
16158	10.57	0.53	2
87144	9.07	1.74	3
13271	14.68	0.41	2
51235	8.99	1.12	1
46897	8.31	0.72	1
73971	13.39	0.14	3
84723	7.04	1.60	3
74924	12.39	1.19	3
21817	5.97	0.28	1
50957	1.03	1.15	1
74289	5.04	0.18	3
6518	13.92	1.46	2
18961	14.59	0.86	2
6241	6.82	0.91	2
17844	6.16	1.01	2
20392	5.37	0.94	1
37973	8.83	1.16	1
40104	0.76	0.88	1
13501	10.34	0.97	2
63644	1.58	1.07	3
24731	2.69	0.34	1
81575	6.23	1.20	3
55901	3.07	0.50	1
78746	10.99	1.41	3
10956	8.06	0.18	2
38046	28.41	0.34	3
45418	26.65	1.44	3
18623	9.10	1.21	2
23156	6.49	0.92	1
36116	7.91	1.16	1
74783	1.12	0.51	3
59230	1.75	0.38	1
62421	8.12	1.12	3
45998	1.45	0.98	1
34421	23.85	1.07	3
18663	8.00	0.94	2
30205	28.72	0.27	3
7699	11.67	0.47	2
51478	5.76	0.88	1
16053	11.85	1.34	2
143	10.44	1.27	2
73390	2.09	1.49	3
26306	2.13	0.25	1
17927	5.51	1.22	2
67136	5.93	1.08	3
2174	12.49	0.20	2
15064	7.61	0.08	2
44654	0.65	0.62	1
1254	13.79	1.20	2
16485	6.81	0.68	2
55679	1.00	0.35	1
32664	4.55	1.09	1
15767	7.46	0.72	2
22711	21.68	1.67	3
51108	6.39	0.99	1
19478	16.38	0.72	3
55678	7.34	0.66	1
54106	3.06	0.54	1
13490	11.51	1.48	2
4371	14.41	0.01	2
14627	13.61	0.46	2
27961	10.00	0.61	1
59234	3.19	0.85	1
63349	4.39	1.46	3
60084	4.40	1.40	3
29696	3.20	0.97	1
12273	11.27	1.02	2
5762	6.58	0.53	2
15275	12.92	0.80	2
21740	6.93	0.56	1
43096	1.95	0.47	1
46867	24.50	1.15	3
35979	3.82	0.51	1
13070	7.60	0.32	2
26627	29.35	0.54	3
54331	7.38	0.30	1
7698	7.01	1.49	2
35828	1.80	0.61	1
61311	11.18	1.17	3
53488	4.57	0.51	1
3321	6.35	0.86	2
9415	5.84	0.26	2
12773	10.29	0.21	2
26034	0.89	0.96	1
43618	16.11	0.68	3
82901	3.27	1.26	3
59827	6.48	1.13	1
21718	18.31	0.41	3
63344	6.61	0.15	3
77013	4.51	0.35	3
55531	3.48	0.83	1
3753	11.54	0.65	2
22711	9.50	0.68	1
45530	20.81	1.73	3
83189	8.60	1.15	3
15438	12.91	0.61	2
73561	4.55	1.73	3
75311	6.45	1.67	3
8340	8.34	0.71	2
19834	8.36	0.69	2
51092	2.28	0.60	1
57420	4.92	0.22	1
61174	1.91	1.49	3
8379	13.63	1.17	2
13874	7.44	1.05	2
2367	10.63	1.17	2
14391	6.04	1.21	2
66387	2.28	1.54	3
60307	3.90	1.59	3
31633	3.77	0.66	1
1255	5.12	0.37	2
65687	13.24	0.18	3
6656	8.96	1.19	2
34603	21.69	1.36	3
53051	2.81	1.02	1
36794	6.14	1.09	1
59182	4.10	0.90	1
56101	0.47	0.78	1
22172	18.68	1.48	3
15699	6.45	1.32	2
13458	9.30	1.34	2
24521	6.18	0.31	1
26037	0.82	1.17	1
49421	17.25	0.97	3
12848	10.50	1.21	2
13900	28.52	0.40	3
5099	10.10	1.43	2
83207	1.65	0.52	3
49399	22.35	0.66	3
52661	3.76	0.74	1
38466	0.84	0.53	1
42617	6.07	1.12	1
12483	11.02	1.03	2
49852	9.56	0.55	1
26057	7.04	0.24	1
66265	0.76	1.13	3
18865	17.74	0.91	3
44280	0.16	0.59	1
38395	0.98	0.74	1
31719	19.88	0.41	3
41547	5.08	1.15	1
22553	20.72	0.22	3
39552	16.80	1.12	3
34873	17.54	1.12	3
89853	2.14	0.53	3
58726	6.09	1.04	1
51032	8.92	0.33	1
5552	5.34	1.36	2
44887	17.71	1.44	3
25557	22.35	1.40	3
18581	21.86	0.94	3
44328	23.76	1.21	3
7318	8.83	0.81	2
77451	11.44	0.88	3
9942	12.14	0.84	2
11732	12.39	0.09	2
73718	4.34	0.66	3
9574	12.45	0.78	2
27215	0.66	0.62	1
62571	11.33	0.74	3
39814	15.62	0.66	3
12946	6.23	0.45	2
33482	1.67	0.89	1
29695	19.83	0.80	3
58744	3.04	1.03	1
17687	8.99	0.51	2
